province,temperature,ph,dissolved_oxygen,conductivity,turbidity,cod_mn,nh3_n,tp,tn
Anhui,15.680903301155334,7.650959449879111,8.315039343523082,512.7949012038848,54.02636509184884,3.715666195839484,0.2296945413424274,,
Beijing,14.420304232804233,8.093753637566138,10.620198082010582,784.0086177248677,10.414887566137567,3.5059027017014635,0.0839819444444444,0.0409419012183468,5.3242874980092365
Chongqing,17.23630390946502,7.964127316510652,9.01466191041469,409.5257570252792,31.4166025708859,2.4126600775856817,0.0779079324379323,0.0578750042385597,1.8952311178944512
Fujian,22.83259837257877,7.135514769399082,7.206995120253432,1842.9840959396452,48.0183404012236,2.6941613132660023,0.1696518205541734,,
Gansu,7.487187305448175,8.339000781826869,9.404249381997966,638.6687339637817,368.8908229105489,1.568709912752304,0.1300243438561018,0.0441330725914846,2.597465602857256
Guangdong,24.79475140308035,7.481509816207185,7.099338788209841,3398.966084414026,28.59181574963049,2.861368528597764,0.1664885135916714,,
Guangxi,22.80395370688339,7.550236561037342,7.960877761561354,1738.8332973233364,13.0254884004884,1.9998733246764997,0.1134252985286318,,
Guizhou,,8.03198582010582,,,,,,,
Hainan,28.56379599159011,7.446616626293098,7.886837566572861,3183.092289466986,14.545473410032232,3.421226451903689,0.1259712184873949,,
Hebei,13.406599578320888,8.326505893165729,11.384288283058774,2066.672973338137,19.484841956768182,3.7983582407877488,0.0885141652749457,,
Heilongjiang,3.6007391845627144,7.090279333955804,10.473511515717398,156.25785869903515,82.98302987861813,7.434623015873017,0.2949841269841269,0.1083727481219168,2.329576046828988
Henan,,7.903630943918794,,,,,,,
Hubei,14.923596786466351,7.642084700677745,8.459743979048326,352.5278930792236,30.93728780414432,2.904618678349795,0.3178475886557826,,
Hunan,16.60127553384887,7.508685932166598,8.494828948039613,233.79836684032017,21.71194016008683,1.9275448974552016,0.1352515145373145,0.0623582401099705,1.894465659693754
Jiangsu,15.263712597095576,7.938010634545385,8.37177977785283,703.3187925625729,49.61911573645801,3.6695094853126,0.2070271693266019,,
Jiangxi,19.28498433681857,7.144150877917484,7.961777486022655,180.40096422409223,39.96755067206456,2.8734591342004947,0.1499737790194697,0.0782437961504434,1.675348752990566
Jilin,7.596777777777778,7.468483068783069,10.8241044973545,302.31001587301586,35.798722222222224,4.643420479520479,0.240105759055759,,
Liaoning,10.710145712606032,8.095100365331318,11.19099174015285,767.3294546485262,46.45312748803225,3.6087741131590336,0.2120085959778023,,
Neimenggu,9.231730172672204,7.99395300921569,9.881927979763123,898.4760935393842,414.09312570145903,3.3551521579869408,0.1004206349206348,,
Ningxia,9.478622303622302,8.27911717911718,9.089995837495838,955.0627392237392,171.0419006919007,2.363177092268001,0.1316031291574769,0.0384950641146292,3.4276725408247146
Qinghai,,8.3742384004884,,,,,,,
Shaanxi,12.549922294487512,8.225330714613325,9.50738180727311,777.0438588349458,88.25839494296012,2.804365673113499,0.2628934182390704,0.0844467598758902,3.789022783964088
Shandong,14.228501064177989,8.134453228196305,10.025139837541376,2107.2398743857248,36.20897683285376,5.494727935198704,0.2794778013211859,,
Shanghai,17.684134355496585,7.601820114010515,7.443668935410422,602.5183117925533,93.25799670745492,3.613387251783304,0.1599110449735449,0.1064080179615705,3.3103562040785723
Shanxi,11.323095813204509,8.211132275132275,10.15290439383483,993.890642246642,46.22372831838049,3.929136222843879,0.3910972030224204,0.1059359059298189,5.076463761922457
Sichuan,16.532711343187284,8.036681874521056,8.897294236562766,454.7866931929356,27.624978811056348,2.0160981290850857,0.1133974934896498,,
Tianjin,14.201267489220388,8.429104226758211,11.978775828304814,3354.3164938573914,15.903242565606696,4.974895135165425,0.0706939060168226,0.0547599425959842,3.1499690157668425
Xinjiang,,7.938445616024188,,,,,,,
Xizang,9.61111111111111,8.157777777777778,6.921481481481481,229.2555555555556,20.52592592592593,0.807037037037037,0.1408888888888888,0.0248518518518518,0.9177777777777778
Yunnan,18.855077696852177,8.171804055141495,7.870976583331435,425.09309092321166,35.063689201996624,3.382509846686166,0.2370087983362522,,
Zhejiang,18.383250979988404,7.373496788141289,7.625987908630001,1002.2071800536838,80.68711571800254,3.0527943779263897,0.2869420265480154,0.0918242786065249,2.927749835843485
